title,artist,year,chart_position,weeks_on_chart,tempo,energy,loudness,danceability,acousticness,speechiness,instrumentalness,valence
bridge over troubled water,simon & garfunkel,1970,1,1,83.35433467741936,0.11818171909877233,-35.86363983154297,0.12324588745832443,0.308299358756257,0.24107129871845245,0.6383930519223213,0.5736813466999388
close to you,carpenters,1970,2,1,89.10290948275862,0.19158063616071427,-33.294677734375,0.1847495287656784,0.0,0.0756334587931633,0.886549811810255,0.600679504695197
american womanno sugar tonight,the guess who,1970,3,1,99.38401442307692,0.31560652596609934,-28.953771591186523,0.1903885006904602,0.25274256585355037,1.0,0.0,0.647515621814099
raindrops keep fallin on my head,b.j. thomas,1970,4,1,107.666015625,0.5493301936558315,-20.7734432220459,0.2604031562805176,0.05948013457098866,0.2499285191297531,0.6251072213053703,0.7120075007847377
war,edwin starr,1970,5,1,112.34714673913044,0.5722526550292969,-19.97115707397461,0.22735445201396942,0.0,1.0,0.0,0.22662298830399605
aint no mountain high enough,diana ross,1970,6,1,89.10290948275862,0.4067181723458426,-25.764863967895508,0.15486429631710052,0.0,0.23021167516708374,0.6546824872493744,0.6437070119322228
ill be there,jackson 5,1970,7,1,89.10290948275862,0.38658245631626675,-26.469614028930664,0.17517943680286407,0.0,0.30696776509284973,0.5395483523607254,0.6396798687263076
get ready,rare earth,1970,8,1,129.19921875,0.4619410923549107,-23.832061767578125,0.2130778580904007,0.0,1.0,0.0,0.7406722586495535
let it be,the beatles,1970,9,1,73.828125,0.39257474626813615,-26.259883880615234,0.17656941711902618,0.2255734942404376,0.03373225778341293,0.9494016133248806,0.6081466456821987
band of gold,freda payne,1970,10,1,107.666015625,0.6655699048723493,-16.705053329467773,0.2609409987926483,0.0,0.8558711409568787,0.0,0.7352554430280414
mama told me,three dog night,1970,11,1,117.45383522727273,0.6091213771275111,-18.68075180053711,0.22469447553157806,0.0,0.4186233878135681,0.3720649182796478,0.744939636626801
everything is beautiful,ray stevens,1970,12,1,103.359375,0.08667449951171875,-36.966392517089844,0.19521395862102509,0.0,0.3226238191127777,0.5160642713308334,0.6102478463309151
make it with you,bread,1970,13,1,83.35433467741936,0.5336671011788504,-21.321651458740234,0.2208564281463623,0.1321396711873435,0.12801146507263184,0.8079828023910522,0.6567784231159544
hitchin a ride,vanity fare,1970,14,1,129.19921875,0.5271880558558872,-21.548418045043945,0.23722492158412933,0.0,0.12290354073047638,0.8156446889042854,0.7537216513497489
abc,jackson 5,1970,15,1,184.5703125,0.6233678545270648,-18.182125091552734,0.2739581763744354,0.0,0.9279069304466248,0.0,0.8916099548339844
the love you savei found that girl,jackson 5,1970,16,1,92.28515625,0.577589579990932,-19.784364700317383,0.19925104081630707,0.0,0.4458410143852234,0.3312384784221649,0.6847003936767578
cracklin rosie,neil diamond,1970,17,1,129.19921875,0.6446734292166574,-17.436429977416992,0.25484567880630493,0.0,0.14260528981685638,0.7860920652747154,0.7772187260219029
candida,dawn,1970,18,1,129.19921875,0.45115203857421876,-24.209678649902344,0.2577413320541382,0.0,0.9909617304801941,0.0,0.2385144478934152
spirit in the sky,norman greenbaum,1970,22,1,129.19921875,0.4621676308768136,-23.824132919311523,0.2000628560781479,0.0,0.3381010890007019,0.49284836649894714,0.24071756635393415
lay down,melanie,1970,23,1,83.35433467741936,0.7088320050920759,-15.190879821777344,0.21558964252471924,0.0,0.3245827257633209,0.5131259113550186,0.6918114038985995
ball of confusion,the temptations,1970,24,1,151.99908088235293,0.5128487178257534,-22.050294876098633,0.18654696643352509,0.053795151628036164,0.14940175414085388,0.7758973687887192,0.2997106311701927
all right now,free,1970,26,1,117.45383522727273,0.46065831865583146,-23.8769588470459,0.28250059485435486,0.0,0.9136238694190979,0.0,0.7152470249324651
i want you back,jackson 5,1970,28,1,99.38401442307692,0.5150422777448381,-21.973520278930664,0.24059166014194489,0.0,1.0,0.0,0.6874027721698468
julie do ya love me,bobby sherman,1970,29,1,83.35433467741936,0.5833498273577009,-19.58275604248047,0.20333486795425415,0.0,0.6426706910133362,0.03599396347999573,0.6667149683517245
greeneyed lady,sugarloaf,1970,30,1,151.99908088235293,0.515869140625,-21.944580078125,0.2868152856826782,0.0,0.32020407915115356,0.5196938812732697,0.800314715730042
ride captain ride,blues image,1970,32,1,123.046875,0.4287442888532366,-24.99394989013672,0.23969139158725739,0.0,0.29382261633872986,0.5592660754919052,0.7208493041992188
instant karma,john ono lennon,1970,34,1,117.45383522727273,0.49692464556012833,-22.607637405395508,0.22601281106472015,0.0,0.3623211681842804,0.4565182477235794,0.7225002903133244
patches,clarence carter,1970,35,1,161.4990234375,0.5086475917271205,-22.19733428955078,0.29676172137260437,0.0,0.7155024409294128,0.0,0.8192274257114955
lookin out my back doorlong as i can see the light,creedence clearwater revival,1970,36,1,107.666015625,0.6028362819126674,-18.90073013305664,0.30240973830223083,0.0,0.2686355710029602,0.5970466434955597,0.722708718436105
rainy night in georgia,brook benton,1970,37,1,71.77734375,0.1617917742047991,-34.33728790283203,0.17575593292713165,0.0,0.3611384630203247,0.45829230546951294,0.5575955200195313
give me just a little more time,chairmen of the board,1970,39,1,123.046875,0.6727470942905971,-16.4538516998291,0.24108026921749115,0.0,1.0,0.0,0.2696498652866909
love grows,edison lighthouse,1970,40,1,112.34714673913044,0.7016765322004046,-15.44132137298584,0.21855752170085907,0.0,0.37222594022750854,0.4416610896587372,0.7525077637382176
snowbird,anne murray,1970,42,1,103.359375,0.5301057543073382,-21.446298599243164,0.23802520334720612,0.0,0.4674292802810669,0.29885607957839966,0.6989340972900391
hey there lonely girl,eddie holman,1970,44,1,64.599609375,0.5312219892229353,-21.407230377197266,0.2097795009613037,0.0,0.15953025221824646,0.7607046216726303,0.6161007036481585
come and get it,badfinger,1970,48,1,92.28515625,0.6997616631644112,-15.508341789245605,0.2183852344751358,0.0,0.5787889957427979,0.13181650638580322,0.7091348103114536
turn back the hands of time,tyrone davis,1970,51,1,117.45383522727273,0.6917129516601562,-15.790046691894531,0.27041658759117126,0.0,0.42396309971809387,0.3640553504228592,0.76145795153333
in the summertime,mungo jerry,1970,53,1,161.4990234375,0.6282725197928293,-18.010461807250977,0.28355419635772705,0.0,0.3976482152938843,0.4035276770591736,0.8431524113246374
indiana wants me,r. dean taylor,1970,54,1,92.28515625,0.4965269361223493,-22.621557235717773,0.19987565279006958,0.0,0.5753270983695984,0.13700935244560242,0.6684878649030414
im losing you,rare earth,1970,55,1,103.359375,0.08778795514787946,-36.92742156982422,0.14263816177845,0.0,0.2066878080368042,0.6899682879447937,0.6104705374581473
easy come easy go,bobby sherman,1970,56,1,143.5546875,0.6129827771868025,-18.545602798461914,0.25342312455177307,0.0,0.2009831666946411,0.6985252499580383,0.8016423143659319
still water,four tops,1970,58,1,83.35433467741936,0.3482832227434431,-27.810087203979492,0.2293645739555359,0.0,1.0,0.0,0.6197016474288729
make me smile,chicago,1970,59,1,129.19921875,0.5067985534667969,-22.26205062866211,0.26304933428764343,0.0,1.0,0.0,0.7496437508719308
house of the rising sun,frijid pink,1970,60,1,112.34714673913044,0.7059312547956195,-15.29240608215332,0.173575296998024,0.0,0.5609022974967957,0.15864655375480652,0.2533587082572606
25 or 6 to 4,chicago,1970,61,1,143.5546875,0.6181550162179129,-18.364574432373047,0.2651122212409973,0.0,0.44943004846572876,0.32585492730140686,0.302676762172154
my baby loves lovin,white plains,1970,62,1,129.19921875,0.6089405604771205,-18.68708038330078,0.24799655377864838,0.0,1.0,0.0,0.7700721522739955
united we stand,brotherhood of man,1970,64,1,161.4990234375,0.4667515345982143,-23.6636962890625,0.21160651743412018,0.0,0.3227509558200836,0.5158735662698746,0.8108482142857143
weve only just begun,carpenters,1970,65,1,89.10290948275862,0.3310670580182757,-28.41265296936035,0.17511636018753052,0.0,0.1302667111158371,0.8045999333262444,0.12857678906670933
arizona,mark lindsay,1970,66,1,80.74951171875,0.4296679905482701,-24.961620330810547,0.26819804310798645,0.0,0.2249954491853714,0.6625068262219429,0.6303968375069755
fire and rain,james taylor,1970,67,1,151.99908088235293,0.22281537737165177,-32.20146179199219,0.22691737115383148,0.04931753933375094,0.1831579953432083,0.7252630069851875,0.7417039630793724
groovy situation,gene chandler,1970,68,1,86.1328125,0.3776763916015625,-26.781326293945312,0.24249665439128876,0.0,0.4995521903038025,0.25067171454429626,0.6315341622488839
evil ways,santana,1970,69,1,117.45383522727273,0.20429611206054688,-32.84963607788086,0.23666004836559296,0.0,0.7605373859405518,0.0,0.6639745836134081
no time,the guess who,1970,70,1,123.046875,0.31018197195870534,-29.143630981445312,0.23744268715381622,0.0,1.0,0.0,0.6971368408203125
the wonder of youmama liked the roses,elvis presley,1970,72,1,92.28515625,0.6242535727364676,-18.151124954223633,0.1950533390045166,0.17315393658555667,0.15333275496959686,0.7700008675456047,0.694033192225865
up around the bendrun through the jungle,creedence clearwater revival,1970,73,1,67.99958881578948,0.5911305018833706,-19.31043243408203,0.197610005736351,0.0,0.21989668905735016,0.6701549664139748,0.6353680764105087
i just cant help believing,b.j. thomas,1970,75,1,135.99917763157896,0.41773648943219865,-25.379222869873047,0.21758407354354858,0.23985787528878533,0.037276603281497955,0.9440850950777531,0.7464026785255375
mississippi queen,mountain,1970,78,1,143.5546875,0.48024439130510604,-23.19144630432129,0.22472406923770905,0.0,0.41153326630592346,0.3827001005411148,0.2750946371895926
i want to take you higher,ike & tina turner & the ikettes,1970,79,1,117.45383522727273,0.5668930053710938,-20.15874481201172,0.2594046890735626,0.0,0.5876690149307251,0.11849647760391235,0.23649396227551747
yellow river,christie,1970,83,1,129.19921875,0.5909534999302455,-19.316627502441406,0.21892644464969635,0.0,0.28543195128440857,0.5718520730733871,0.2664747401646205
somebodys been sleeping,100 proof aged in soul,1970,84,1,135.99917763157896,0.503445053100586,-22.379423141479492,0.243299201130867,0.0,0.7493993639945984,0.0,0.763544391259215
lay a little lovin on me,robin mcnamara,1970,87,1,103.359375,0.08345740182059151,-37.0789909362793,0.22050364315509796,0.0,1.0,0.0,0.6096044267926897
up the ladder to the roof,the supremes,1970,88,1,117.45383522727273,0.4972332545689174,-22.59683609008789,0.1998230665922165,0.0,1.0,0.0,0.7225620121150822
travelin bandwholl stop the rain,creedence clearwater revival,1970,89,1,123.046875,0.6875944137573242,-15.934195518493652,0.21142800152301788,0.0,0.3947385251522064,0.40789221227169037,0.7726193291800363
psychedelic shack,the temptations,1970,91,1,151.99908088235293,7.803780691964285e-05,-39.99726867675781,0.20598869025707245,0.0,0.6858594417572021,0.0,0.19715649516642594
without love,tom jones,1970,92,1,86.1328125,0.4531700679234096,-24.139047622680664,0.2193177342414856,0.0,0.26817232370376587,0.5977415144443512,0.6466328975132534
woodstock,"crosby, stills, nash & young",1970,94,1,112.34714673913044,0.4891620635986328,-22.87932777404785,0.2637346088886261,0.0,0.06471319496631622,0.9029302075505257,0.7100048700178632
ill never fall in love again,dionne warwick,1970,95,1,135.99917763157896,0.6017108372279576,-18.940120697021484,0.2812594175338745,0.0,0.10439996421337128,0.8434000536799431,0.7831975480846893
the thrill is gone,b.b. king,1970,98,1,89.10290948275862,0.5836288452148437,-19.57299041748047,0.2399206906557083,0.22120058164267786,1.0,0.0,0.6790891465060229
its only make believe,glen campbell,1970,99,1,112.34714673913044,0.6154326847621373,-18.459856033325195,0.18351179361343384,0.0,0.7483115196228027,0.0,0.7352589942505641
call me,aretha franklin,1970,100,1,117.45383522727273,0.11871250697544643,-35.845062255859375,0.17696934938430786,0.0,0.20006734132766724,0.6998989880084991,0.146857862596388
joy to the world,three dog night,1971,1,1,129.19921875,0.5063521248953683,-22.27767562866211,0.23005984723567963,0.0,0.34657227993011475,0.4801415801048279,0.7495544651576451
maggie mayreason to believe,rod stewart,1971,2,1,129.19921875,0.4164071219308036,-25.425750732421875,0.20993457734584808,0.25140943217377965,0.21811290085315704,0.6728306487202644,0.7315654645647321
its too latei feel the earth move,carole king,1971,3,1,117.45383522727273,0.49675140380859373,-22.61370086669922,0.23530714213848114,0.0,0.8976335525512695,0.0,0.22246564196301746
