title,artist,year,chart_position,weeks_on_chart,tempo,energy,loudness,danceability,acousticness,speechiness,instrumentalness,valence
bridge over troubled water,simon & garfunkel,1970,1,1,83.35433467741936,0.1181817190987723,-35.86363983154297,0.1232458874583244,0.308299358756257,0.2410712987184524,0.6383930519223213,0.5736813466999388
close to you,carpenters,1970,2,1,89.10290948275862,0.1915806361607142,-33.294677734375,0.1847495287656784,0.0,0.0756334587931633,0.886549811810255,0.600679504695197
american womanno sugar tonight,the guess who,1970,3,1,99.38401442307692,0.3156065259660993,-28.953771591186523,0.1903885006904602,0.2527425658535503,1.0,0.0,0.647515621814099
raindrops keep fallin on my head,b.j. thomas,1970,4,1,107.666015625,0.5493301936558315,-20.7734432220459,0.2604031562805176,0.0594801345709886,0.2499285191297531,0.6251072213053703,0.7120075007847377
war,edwin starr,1970,5,1,112.34714673913044,0.5722526550292969,-19.97115707397461,0.2273544520139694,0.0,1.0,0.0,0.226622988303996
aint no mountain high enough,diana ross,1970,6,1,89.10290948275862,0.4067181723458426,-25.764863967895508,0.1548642963171005,0.0,0.2302116751670837,0.6546824872493744,0.6437070119322228
ill be there,jackson 5,1970,7,1,89.10290948275862,0.3865824563162667,-26.469614028930664,0.175179436802864,0.0,0.3069677650928497,0.5395483523607254,0.6396798687263076
get ready,rare earth,1970,8,1,129.19921875,0.4619410923549107,-23.832061767578125,0.2130778580904007,0.0,1.0,0.0,0.7406722586495535
let it be,the beatles,1970,9,1,73.828125,0.3925747462681361,-26.25988388061523,0.1765694171190261,0.2255734942404376,0.0337322577834129,0.9494016133248806,0.6081466456821987
band of gold,freda payne,1970,10,1,107.666015625,0.6655699048723493,-16.705053329467773,0.2609409987926483,0.0,0.8558711409568787,0.0,0.7352554430280414
mama told me,three dog night,1970,11,1,117.45383522727272,0.6091213771275111,-18.68075180053711,0.224694475531578,0.0,0.4186233878135681,0.3720649182796478,0.744939636626801
everything is beautiful,ray stevens,1970,12,1,103.359375,0.0866744995117187,-36.96639251708984,0.195213958621025,0.0,0.3226238191127777,0.5160642713308334,0.6102478463309151
make it with you,bread,1970,13,1,83.35433467741936,0.5336671011788504,-21.32165145874023,0.2208564281463623,0.1321396711873435,0.1280114650726318,0.8079828023910522,0.6567784231159544
hitchin a ride,vanity fare,1970,14,1,129.19921875,0.5271880558558872,-21.548418045043945,0.2372249215841293,0.0,0.1229035407304763,0.8156446889042854,0.7537216513497489
abc,jackson 5,1970,15,1,184.5703125,0.6233678545270648,-18.182125091552734,0.2739581763744354,0.0,0.9279069304466248,0.0,0.8916099548339844
the love you savei found that girl,jackson 5,1970,16,1,92.28515625,0.577589579990932,-19.784364700317383,0.199251040816307,0.0,0.4458410143852234,0.3312384784221649,0.6847003936767578
cracklin rosie,neil diamond,1970,17,1,129.19921875,0.6446734292166574,-17.436429977416992,0.2548456788063049,0.0,0.1426052898168563,0.7860920652747154,0.7772187260219029
candida,dawn,1970,18,1,129.19921875,0.4511520385742187,-24.209678649902344,0.2577413320541382,0.0,0.990961730480194,0.0,0.2385144478934152
spirit in the sky,norman greenbaum,1970,22,1,129.19921875,0.4621676308768136,-23.824132919311523,0.2000628560781479,0.0,0.3381010890007019,0.4928483664989471,0.2407175663539341
lay down,melanie,1970,23,1,83.35433467741936,0.7088320050920759,-15.190879821777344,0.2155896425247192,0.0,0.3245827257633209,0.5131259113550186,0.6918114038985995
ball of confusion,the temptations,1970,24,1,151.99908088235293,0.5128487178257534,-22.050294876098633,0.186546966433525,0.0537951516280361,0.1494017541408538,0.7758973687887192,0.2997106311701927
all right now,free,1970,26,1,117.45383522727272,0.4606583186558314,-23.8769588470459,0.2825005948543548,0.0,0.913623869419098,0.0,0.7152470249324651
i want you back,jackson 5,1970,28,1,99.38401442307692,0.5150422777448381,-21.973520278930664,0.2405916601419448,0.0,1.0,0.0,0.6874027721698468
julie do ya love me,bobby sherman,1970,29,1,83.35433467741936,0.5833498273577009,-19.58275604248047,0.2033348679542541,0.0,0.6426706910133362,0.0359939634799957,0.6667149683517245
greeneyed lady,sugarloaf,1970,30,1,151.99908088235293,0.515869140625,-21.944580078125,0.2868152856826782,0.0,0.3202040791511535,0.5196938812732697,0.800314715730042
ride captain ride,blues image,1970,32,1,123.046875,0.4287442888532366,-24.99394989013672,0.2396913915872573,0.0,0.2938226163387298,0.5592660754919052,0.7208493041992188
instant karma,john ono lennon,1970,34,1,117.45383522727272,0.4969246455601283,-22.607637405395508,0.2260128110647201,0.0,0.3623211681842804,0.4565182477235794,0.7225002903133244
patches,clarence carter,1970,35,1,161.4990234375,0.5086475917271205,-22.19733428955078,0.2967617213726043,0.0,0.7155024409294128,0.0,0.8192274257114955
lookin out my back doorlong as i can see the light,creedence clearwater revival,1970,36,1,107.666015625,0.6028362819126674,-18.90073013305664,0.3024097383022308,0.0,0.2686355710029602,0.5970466434955597,0.722708718436105
rainy night in georgia,brook benton,1970,37,1,71.77734375,0.1617917742047991,-34.33728790283203,0.1757559329271316,0.0,0.3611384630203247,0.4582923054695129,0.5575955200195313
give me just a little more time,chairmen of the board,1970,39,1,123.046875,0.6727470942905971,-16.4538516998291,0.2410802692174911,0.0,1.0,0.0,0.2696498652866909
love grows,edison lighthouse,1970,40,1,112.34714673913044,0.7016765322004046,-15.44132137298584,0.218557521700859,0.0,0.3722259402275085,0.4416610896587372,0.7525077637382176
snowbird,anne murray,1970,42,1,103.359375,0.5301057543073382,-21.446298599243164,0.2380252033472061,0.0,0.4674292802810669,0.2988560795783996,0.6989340972900391
hey there lonely girl,eddie holman,1970,44,1,64.599609375,0.5312219892229353,-21.407230377197266,0.2097795009613037,0.0,0.1595302522182464,0.7607046216726303,0.6161007036481585
come and get it,badfinger,1970,48,1,92.28515625,0.6997616631644112,-15.508341789245604,0.2183852344751358,0.0,0.5787889957427979,0.1318165063858032,0.7091348103114536
turn back the hands of time,tyrone davis,1970,51,1,117.45383522727272,0.6917129516601562,-15.790046691894531,0.2704165875911712,0.0,0.4239630997180938,0.3640553504228592,0.76145795153333
in the summertime,mungo jerry,1970,53,1,161.4990234375,0.6282725197928293,-18.010461807250977,0.283554196357727,0.0,0.3976482152938843,0.4035276770591736,0.8431524113246374
indiana wants me,r. dean taylor,1970,54,1,92.28515625,0.4965269361223493,-22.621557235717773,0.1998756527900695,0.0,0.5753270983695984,0.1370093524456024,0.6684878649030414
im losing you,rare earth,1970,55,1,103.359375,0.0877879551478794,-36.92742156982422,0.14263816177845,0.0,0.2066878080368042,0.6899682879447937,0.6104705374581473
easy come easy go,bobby sherman,1970,56,1,143.5546875,0.6129827771868025,-18.54560279846191,0.253423124551773,0.0,0.2009831666946411,0.6985252499580383,0.8016423143659319
still water,four tops,1970,58,1,83.35433467741936,0.3482832227434431,-27.810087203979492,0.2293645739555359,0.0,1.0,0.0,0.6197016474288729
make me smile,chicago,1970,59,1,129.19921875,0.5067985534667969,-22.26205062866211,0.2630493342876434,0.0,1.0,0.0,0.7496437508719308
house of the rising sun,frijid pink,1970,60,1,112.34714673913044,0.7059312547956195,-15.29240608215332,0.173575296998024,0.0,0.5609022974967957,0.1586465537548065,0.2533587082572606
25 or 6 to 4,chicago,1970,61,1,143.5546875,0.6181550162179129,-18.364574432373047,0.2651122212409973,0.0,0.4494300484657287,0.3258549273014068,0.302676762172154
my baby loves lovin,white plains,1970,62,1,129.19921875,0.6089405604771205,-18.68708038330078,0.2479965537786483,0.0,1.0,0.0,0.7700721522739955
united we stand,brotherhood of man,1970,64,1,161.4990234375,0.4667515345982143,-23.6636962890625,0.2116065174341201,0.0,0.3227509558200836,0.5158735662698746,0.8108482142857143
weve only just begun,carpenters,1970,65,1,89.10290948275862,0.3310670580182757,-28.41265296936035,0.1751163601875305,0.0,0.1302667111158371,0.8045999333262444,0.1285767890667093
arizona,mark lindsay,1970,66,1,80.74951171875,0.4296679905482701,-24.961620330810547,0.2681980431079864,0.0,0.2249954491853714,0.6625068262219429,0.6303968375069755
fire and rain,james taylor,1970,67,1,151.99908088235293,0.2228153773716517,-32.20146179199219,0.2269173711538314,0.0493175393337509,0.1831579953432083,0.7252630069851875,0.7417039630793724
groovy situation,gene chandler,1970,68,1,86.1328125,0.3776763916015625,-26.781326293945312,0.2424966543912887,0.0,0.4995521903038025,0.2506717145442962,0.6315341622488839
