title,artist,year,chart_position,weeks_on_chart,decade,top10
bridge over troubled water,simon & garfunkel,1970,1,1,1970s,1.0
close to you,carpenters,1970,2,1,1970s,1.0
american womanno sugar tonight,the guess who,1970,3,1,1970s,1.0
raindrops keep fallin on my head,b.j. thomas,1970,4,1,1970s,1.0
war,edwin starr,1970,5,1,1970s,1.0
aint no mountain high enough,diana ross,1970,6,1,1970s,1.0
ill be there,jackson 5,1970,7,1,1970s,1.0
get ready,rare earth,1970,8,1,1970s,1.0
let it be,the beatles,1970,9,1,1970s,1.0
band of gold,freda payne,1970,10,1,1970s,1.0
mama told me,three dog night,1970,11,1,1970s,0.0
everything is beautiful,ray stevens,1970,12,1,1970s,0.0
make it with you,bread,1970,13,1,1970s,0.0
hitchin a ride,vanity fare,1970,14,1,1970s,0.0
abc,jackson 5,1970,15,1,1970s,0.0
the love you savei found that girl,jackson 5,1970,16,1,1970s,0.0
cracklin rosie,neil diamond,1970,17,1,1970s,0.0
candida,dawn,1970,18,1,1970s,0.0
spirit in the sky,norman greenbaum,1970,22,1,1970s,0.0
lay down,melanie,1970,23,1,1970s,0.0
ball of confusion,the temptations,1970,24,1,1970s,0.0
all right now,free,1970,26,1,1970s,0.0
i want you back,jackson 5,1970,28,1,1970s,0.0
julie do ya love me,bobby sherman,1970,29,1,1970s,0.0
greeneyed lady,sugarloaf,1970,30,1,1970s,0.0
ride captain ride,blues image,1970,32,1,1970s,0.0
instant karma,john ono lennon,1970,34,1,1970s,0.0
patches,clarence carter,1970,35,1,1970s,0.0
lookin out my back doorlong as i can see the light,creedence clearwater revival,1970,36,1,1970s,0.0
rainy night in georgia,brook benton,1970,37,1,1970s,0.0
give me just a little more time,chairmen of the board,1970,39,1,1970s,0.0
love grows,edison lighthouse,1970,40,1,1970s,0.0
snowbird,anne murray,1970,42,1,1970s,0.0
hey there lonely girl,eddie holman,1970,44,1,1970s,0.0
come and get it,badfinger,1970,48,1,1970s,0.0
turn back the hands of time,tyrone davis,1970,51,1,1970s,0.0
in the summertime,mungo jerry,1970,53,1,1970s,0.0
indiana wants me,r. dean taylor,1970,54,1,1970s,0.0
im losing you,rare earth,1970,55,1,1970s,0.0
easy come easy go,bobby sherman,1970,56,1,1970s,0.0
still water,four tops,1970,58,1,1970s,0.0
make me smile,chicago,1970,59,1,1970s,0.0
house of the rising sun,frijid pink,1970,60,1,1970s,0.0
25 or 6 to 4,chicago,1970,61,1,1970s,0.0
my baby loves lovin,white plains,1970,62,1,1970s,0.0
united we stand,brotherhood of man,1970,64,1,1970s,0.0
weve only just begun,carpenters,1970,65,1,1970s,0.0
arizona,mark lindsay,1970,66,1,1970s,0.0
fire and rain,james taylor,1970,67,1,1970s,0.0
groovy situation,gene chandler,1970,68,1,1970s,0.0
evil ways,santana,1970,69,1,1970s,0.0
no time,the guess who,1970,70,1,1970s,0.0
the wonder of youmama liked the roses,elvis presley,1970,72,1,1970s,0.0
up around the bendrun through the jungle,creedence clearwater revival,1970,73,1,1970s,0.0
i just cant help believing,b.j. thomas,1970,75,1,1970s,0.0
mississippi queen,mountain,1970,78,1,1970s,0.0
i want to take you higher,ike & tina turner & the ikettes,1970,79,1,1970s,0.0
yellow river,christie,1970,83,1,1970s,0.0
somebodys been sleeping,100 proof aged in soul,1970,84,1,1970s,0.0
lay a little lovin on me,robin mcnamara,1970,87,1,1970s,0.0
up the ladder to the roof,the supremes,1970,88,1,1970s,0.0
travelin bandwholl stop the rain,creedence clearwater revival,1970,89,1,1970s,0.0
psychedelic shack,the temptations,1970,91,1,1970s,0.0
without love,tom jones,1970,92,1,1970s,0.0
woodstock,"crosby, stills, nash & young",1970,94,1,1970s,0.0
ill never fall in love again,dionne warwick,1970,95,1,1970s,0.0
the thrill is gone,b.b. king,1970,98,1,1970s,0.0
its only make believe,glen campbell,1970,99,1,1970s,0.0
call me,aretha franklin,1970,100,1,1970s,0.0
joy to the world,three dog night,1971,1,1,1970s,1.0
maggie mayreason to believe,rod stewart,1971,2,1,1970s,1.0
its too latei feel the earth move,carole king,1971,3,1,1970s,1.0
how can you mend a broken heart,bee gees,1971,5,1,1970s,1.0
go away little girl,donny osmond,1971,7,1,1970s,1.0
just my imagination,the temptations,1971,9,1,1970s,1.0
tired of being alone,al green,1971,12,1,1970s,0.0
want ads,the honey cone,1971,13,1,1970s,0.0
treat her like a lady,cornelius brothers & sister rose,1971,15,1,1970s,0.0
brown sugar,the rolling stones,1971,16,1,1970s,0.0
youve got a friend,james taylor,1971,17,1,1970s,0.0
mr big stuff,jean knight,1971,18,1,1970s,0.0
do you know what i mean,lee michaels,1971,19,1,1970s,0.0
the night they drove old dixie down,joan baez,1971,20,1,1970s,0.0
whats going on,marvin gaye,1971,21,1,1970s,0.0
uncle albertadmiral halsey,paul & linda mccartney,1971,22,1,1970s,0.0
signs,five man electrical band,1971,24,1,1970s,0.0
shes a lady,tom jones,1971,25,1,1970s,0.0
amos moses,jerry reed,1971,28,1,1970s,0.0
superstar,carpenters,1971,30,1,1970s,0.0
my sweet lordisnt it a pity,george harrison,1971,31,1,1970s,0.0
put your hand in the hand,ocean,1971,33,1,1970s,0.0
for all we know,carpenters,1971,35,1,1970s,0.0
if you could read my mind,gordon lightfoot,1971,36,1,1970s,0.0
help me make it through the night,sammi smith,1971,37,1,1970s,0.0
never can say goodbye,jackson 5,1971,40,1,1970s,0.0
rose garden,lynn anderson,1971,41,1,1970s,0.0
dont pull your love,"hamilton, joe frank & reynolds",1971,42,1,1970s,0.0
it dont come easy,ringo starr,1971,43,1,1970s,0.0
